Produtos Estoques/Preço custo,Efetiva Informática Ltda
Pág.:,   1
Data Base:,01/04/2022
,Código,Descrição,EAN,Família,Depósito,Qtd,Qtd. Reserv.,Dat Ult. Compra,Preço Custo+IPI+Difal,Preço Venda
03091,ALICATE PARA CRIMPAGEM P/ RJ11 E RJ45 C/ CATRACA,,04006,1,"          2,00","              0,00",01/02/2022,"            55,57","         81,00"
05017,APOIO DE PULSO P/ DIGITAÇÃO CONFORT,7898574339304,01010,1,"          3,00","              0,00",26/01/2022,"            21,13","         38,90"
04712,APOIO DE PULSO REDRAGON INFERNAL GAMER ID023,6950376781598,01010,1,"          2,00","              0,00",13/07/2021,"            49,90","         79,90"
04597,APOIO DE PULSO REDRAGON WRIST PAD GAMER 360X80X23MM P023,6950376782601,01010,1,"          3,00","              0,00",24/06/2021,"            52,43","         79,90"
04780,APOIO DE PULSO REDRAGON WRIST PAD GAMER 430X80X23MM P022,6950376782496,01010,1,"          2,00","              0,00",15/07/2021,"            54,59","         89,00"
04184,APOIO EM GEL MULTILASER AC033 P/ TECLADO  - PRETO,7898476321247,01011,1,"          2,00","              0,00",12/05/2021,"            47,90","         72,00"
02901,APRESENTADOR LASERPOINT AP-400 C3TECH PRETO,7898555211292,03016,1,"          1,00","              0,00",05/01/2022,"            61,90","         98,00"
01475,APRESENTADOR/APONTADOR LASERPOINT R400 LOGITECH,097855061614,03016,1,"          1,00","              0,00",05/01/2022,"           125,90","        189,00"
03158,AROMATIZADOR PARA CARRO DIVERSOS,,08001,7,"         20,00","              1,00",25/03/2019,"             7,37","          1,00"
00051,BANDEJA FIXA 19 X 700 MM,,04005,1,"          1,00","              0,00",09/07/2020,"           111,61","        158,00"
04692,BASE P/ NOTE COOLER TT MASSIVE A21 200MM,4717964404343,03004,1,"          2,00","              0,00",07/05/2021,"           267,08","        399,00"
04695,BASE P/ NOTE COOLER TT MASSIVE TM,4717964393173,03004,1,"          1,00","              0,00",11/05/2021,"           281,15","        419,00"
SECE904.GER - Estoques/Controle de Estoque - 01/04/2022 - 08:54,Usuário:,Natan
Produtos Estoques/Preço custo,Efetiva Informática Ltda
Pág.:,   3
Data Base:,01/04/2022
,Código,Descrição,EAN,Família,Depósito,Qtd,Qtd. Reserv.,Dat Ult. Compra,Preço Custo+IPI+Difal,Preço Venda
03033,BASE P/ NOTE GENIUS STAND 200 - C/ 1 COOLER USB PRETO,4710268226635,01011,1,"          1,00","              0,00",13/03/2017,"            24,89","         39,00"
04247,BASE PARA NOTE C3TECH 14" NBC-01BK,7898555217355,01011,1,"          3,00","              0,00",24/03/2022,"            35,73","         59,00"
03242,BASE PARA NOTE C3TECH 14" NBC-200SI S/COOLER,7898555215634,01011,1,"          1,00","              0,00",30/10/2020,"            89,90","        139,00"
03212,"BASE PARA NOTE C3TECH 15,6 NBC-50BK",7898555213111,01011,1,"          5,00","              2,00",24/03/2022,"            58,04","         89,00"
03303,"BASE PARA NOTE C3TECH 17,3" NBC-100BK",7898555213128,01011,1,"          6,00","              0,00",18/03/2022,"            89,97","        139,00"
04680,"BASE PARA NOTE C3TECH GAMER 17,3 NBC-500BK",7898555215382,01011,1,"          1,00","              0,00",04/05/2021,"           138,47","        199,00"
03263,BASE PARA NOTE PISC 15" C/ 2 COOLER,7898940742394,01011,1,"          1,00","              0,00",19/09/2017,"            18,97","         38,00"
02220,BATERIA 5AH/12V - P/ NOBREAK,,03030,1,"          2,00","              0,00",10/01/2022,"            95,00","        135,00"
00053,BATERIA 7AH/12V - P/ NOBREAK ELGIN,7897013568725,03030,1,"          1,00","              1,00",15/12/2021,"            67,90","        119,00"
